symptoms,disease,dos,donts,severity
"body_ache, chest_pain, chills, cough, fatigue, fever, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, nausea, shortness_breath, skin_rash, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, sore_throat, vomiting",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, diarrhea, fatigue, fever, itching, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, itching, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chest_pain, chills, cough, fatigue, fever, joint_pain, muscle_pain, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, sneezing, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chest_pain, chills, cough, fatigue, fever, muscle_pain, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, muscle_pain, nausea, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, sneezing, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, nausea, runny_nose, skin_rash, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, sneezing, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, itching, runny_nose, skin_rash, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, joint_pain, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, sneezing, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, diarrhea, fatigue, fever, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chest_pain, chills, cough, fatigue, fever, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, diarrhea, fatigue, fever, joint_pain, nausea, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, diarrhea, dizziness, fatigue, fever, sore_throat, vomiting",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chest_pain, chills, cough, diarrhea, fatigue, fever, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, muscle_pain, skin_rash, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, shortness_breath, sneezing, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, nausea, runny_nose, shortness_breath, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, headache, loss_appetite, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, joint_pain, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"cough, fatigue, headache, joint_pain, muscle_pain, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, nausea, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, fever, headache, itching, nausea, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, nausea, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, joint_pain, runny_nose, skin_rash, sneezing, sore_throat, vomiting",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"chills, cough, fatigue, headache, runny_nose, sneezing, sore_throat, vomiting",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"chills, cough, fatigue, headache, itching, runny_nose, sneezing, sore_throat, vomiting",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, muscle_pain, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, fever, headache, itching, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, diarrhea, fatigue, headache, itching, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, fever, headache, runny_nose, shortness_breath, skin_rash, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, fever, headache, joint_pain, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"chills, cough, fatigue, headache, runny_nose, skin_rash, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, nausea, runny_nose, shortness_breath, sneezing, sore_throat, vomiting",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"body_ache, cough, fatigue, fever, headache, itching, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, diarrhea, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, loss_appetite, muscle_pain, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, skin_rash, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"chills, cough, fatigue, headache, joint_pain, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"chills, cough, fatigue, headache, loss_appetite, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, loss_appetite, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"body_ache, cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, muscle_pain, runny_nose, shortness_breath, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, dizziness, fatigue, fever, headache, runny_nose, skin_rash, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, shortness_breath, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, joint_pain, runny_nose, shortness_breath, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, itching, runny_nose, skin_rash, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, joint_pain, loss_appetite, muscle_pain, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"chills, cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, diarrhea, fatigue, headache, itching, runny_nose, shortness_breath, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, diarrhea, fatigue, headache, loss_appetite, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"cough, fatigue, headache, loss_appetite, runny_nose, sneezing, sore_throat",Cold,Stay hydrated|Get adequate rest|Use honey and ginger tea|Eat nutritious food|Use nasal saline,Avoid crowded places|Avoid cold weather|Avoid dairy initially|Avoid strenuous activities,Low
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, chest_pain, cough, dizziness, fatigue, fever, loss_appetite, shortness_breath, skin_rash",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, chest_pain, cough, fatigue, fever, itching, loss_appetite, shortness_breath, sore_throat",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, joint_pain, loss_appetite, muscle_pain, nausea, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, chest_pain, cough, fatigue, fever, itching, loss_appetite, shortness_breath, sneezing",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, cough, fatigue, fever, headache, loss_appetite, shortness_breath, sneezing",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
"body_ache, chest_pain, cough, diarrhea, fatigue, fever, itching, loss_appetite, shortness_breath",COVID-19,Isolate yourself|Monitor oxygen levels|Take prescribed antivirals|Stay hydrated|Seek medical help if worsening,Avoid contact with others|Avoid strenuous exercise|Avoid smoking|Dont self-medicate|Avoid public places,High
